date,region,number
21/11/2020,Yorkshire and The Humber,1366
20/11/2020,Yorkshire and The Humber,1937
19/11/2020,Yorkshire and The Humber,2089
30/07/2020,East of England,52
29/07/2020,East of England,66
28/07/2020,East of England,56
27/07/2020,East of England,65
18/11/2020,Yorkshire and The Humber,2581
26/07/2020,East of England,26
25/07/2020,East of England,28
24/07/2020,East of England,79
23/07/2020,East of England,50
17/11/2020,Yorkshire and The Humber,3057
22/07/2020,East of England,54
16/11/2020,Yorkshire and The Humber,3278
15/11/2020,Yorkshire and The Humber,2094
14/11/2020,Yorkshire and The Humber,2502
21/07/2020,East of England,66
13/11/2020,Yorkshire and The Humber,3076
20/07/2020,East of England,81
12/11/2020,Yorkshire and The Humber,3199
11/11/2020,Yorkshire and The Humber,3703
10/11/2020,Yorkshire and The Humber,3771
09/11/2020,Yorkshire and The Humber,4490
08/11/2020,Yorkshire and The Humber,2893
07/11/2020,Yorkshire and The Humber,2833
06/11/2020,Yorkshire and The Humber,3634
19/07/2020,East of England,21
05/11/2020,Yorkshire and The Humber,3586
04/11/2020,Yorkshire and The Humber,3504
03/11/2020,Yorkshire and The Humber,3947
02/11/2020,Yorkshire and The Humber,4667
01/11/2020,Yorkshire and The Humber,2820
31/10/2020,Yorkshire and The Humber,2628
30/10/2020,Yorkshire and The Humber,3465
18/07/2020,East of England,29
17/07/2020,East of England,51
16/07/2020,East of England,61
15/07/2020,East of England,55
29/10/2020,Yorkshire and The Humber,3456
28/10/2020,Yorkshire and The Humber,3579
14/07/2020,East of England,81
13/07/2020,East of England,64
27/10/2020,Yorkshire and The Humber,3579
12/07/2020,East of England,35
26/10/2020,Yorkshire and The Humber,3849
11/07/2020,East of England,42
10/07/2020,East of England,49
25/10/2020,Yorkshire and The Humber,2150
24/10/2020,Yorkshire and The Humber,2250
23/10/2020,Yorkshire and The Humber,2978
22/10/2020,Yorkshire and The Humber,3300
21/10/2020,Yorkshire and The Humber,3491
20/10/2020,Yorkshire and The Humber,3565
09/07/2020,East of England,54
19/10/2020,Yorkshire and The Humber,3825
18/10/2020,Yorkshire and The Humber,2217
17/10/2020,Yorkshire and The Humber,2367
16/10/2020,Yorkshire and The Humber,2433
15/10/2020,Yorkshire and The Humber,2488
14/10/2020,Yorkshire and The Humber,2773
13/10/2020,Yorkshire and The Humber,2530
12/10/2020,Yorkshire and The Humber,2744
11/10/2020,Yorkshire and The Humber,1622
10/10/2020,Yorkshire and The Humber,1916
08/07/2020,East of England,77
09/10/2020,Yorkshire and The Humber,1869
08/10/2020,Yorkshire and The Humber,2425
07/07/2020,East of England,39
06/07/2020,East of England,56
05/07/2020,East of England,36
04/07/2020,East of England,42
07/10/2020,Yorkshire and The Humber,2657
06/10/2020,Yorkshire and The Humber,2415
05/10/2020,Yorkshire and The Humber,2267
03/07/2020,East of England,60
04/10/2020,Yorkshire and The Humber,1677
02/07/2020,East of England,63
01/07/2020,East of England,40
03/10/2020,Yorkshire and The Humber,1658
30/06/2020,East of England,34
29/06/2020,East of England,49
02/10/2020,Yorkshire and The Humber,2205
28/06/2020,East of England,25
01/10/2020,Yorkshire and The Humber,2134
27/06/2020,East of England,20
30/09/2020,Yorkshire and The Humber,1787
26/06/2020,East of England,59
29/09/2020,Yorkshire and The Humber,1383
25/06/2020,East of England,39
24/06/2020,East of England,60
23/06/2020,East of England,44
22/06/2020,East of England,74
28/09/2020,Yorkshire and The Humber,1450
21/06/2020,East of England,57
20/06/2020,East of England,31
19/06/2020,East of England,74
27/09/2020,Yorkshire and The Humber,1024
18/06/2020,East of England,83
17/06/2020,East of England,77
26/09/2020,Yorkshire and The Humber,823
25/09/2020,Yorkshire and The Humber,800
24/09/2020,Yorkshire and The Humber,922
23/09/2020,Yorkshire and The Humber,728
22/09/2020,Yorkshire and The Humber,714
21/09/2020,Yorkshire and The Humber,616
20/09/2020,Yorkshire and The Humber,665
19/09/2020,Yorkshire and The Humber,559
18/09/2020,Yorkshire and The Humber,557
17/09/2020,Yorkshire and The Humber,569
16/09/2020,Yorkshire and The Humber,545
15/09/2020,Yorkshire and The Humber,419
14/09/2020,Yorkshire and The Humber,387
16/06/2020,East of England,108
15/06/2020,East of England,113
14/06/2020,East of England,73
13/06/2020,East of England,89
12/06/2020,East of England,65
11/06/2020,East of England,70
10/06/2020,East of England,118
09/06/2020,East of England,130
08/06/2020,East of England,94
07/06/2020,East of England,46
06/06/2020,East of England,93
05/06/2020,East of England,110
04/06/2020,East of England,93
13/09/2020,Yorkshire and The Humber,297
03/06/2020,East of England,123
12/09/2020,Yorkshire and The Humber,313
11/09/2020,Yorkshire and The Humber,384
10/09/2020,Yorkshire and The Humber,461
09/09/2020,Yorkshire and The Humber,393
08/09/2020,Yorkshire and The Humber,381
07/09/2020,Yorkshire and The Humber,524
06/09/2020,Yorkshire and The Humber,305
02/06/2020,East of England,130
01/06/2020,East of England,138
05/09/2020,Yorkshire and The Humber,312
31/05/2020,East of England,61
04/09/2020,Yorkshire and The Humber,302
30/05/2020,East of England,83
29/05/2020,East of England,160
03/09/2020,Yorkshire and The Humber,335
02/09/2020,Yorkshire and The Humber,373
01/09/2020,Yorkshire and The Humber,263
31/08/2020,Yorkshire and The Humber,192
28/05/2020,East of England,163
27/05/2020,East of England,150
26/05/2020,East of England,149
25/05/2020,East of England,147
24/05/2020,East of England,103
30/08/2020,Yorkshire and The Humber,143
29/08/2020,Yorkshire and The Humber,170
28/08/2020,Yorkshire and The Humber,161
27/08/2020,Yorkshire and The Humber,192
26/08/2020,Yorkshire and The Humber,119
23/05/2020,East of England,150
22/05/2020,East of England,190
25/08/2020,Yorkshire and The Humber,135
24/08/2020,Yorkshire and The Humber,150
21/05/2020,East of England,246
23/08/2020,Yorkshire and The Humber,93
20/05/2020,East of England,243
19/05/2020,East of England,255
18/05/2020,East of England,283
17/05/2020,East of England,154
16/05/2020,East of England,174
15/05/2020,East of England,210
22/08/2020,Yorkshire and The Humber,89
21/08/2020,Yorkshire and The Humber,129
14/05/2020,East of England,217
13/05/2020,East of England,330
12/05/2020,East of England,315
20/08/2020,Yorkshire and The Humber,165
19/08/2020,Yorkshire and The Humber,140
11/05/2020,East of England,391
18/08/2020,Yorkshire and The Humber,122
17/08/2020,Yorkshire and The Humber,126
16/08/2020,Yorkshire and The Humber,79
15/08/2020,Yorkshire and The Humber,108
14/08/2020,Yorkshire and The Humber,161
13/08/2020,Yorkshire and The Humber,179
10/05/2020,East of England,209
09/05/2020,East of England,203
08/05/2020,East of England,229
07/05/2020,East of England,396
12/08/2020,Yorkshire and The Humber,171
06/05/2020,East of England,388
11/08/2020,Yorkshire and The Humber,185
10/08/2020,Yorkshire and The Humber,221
09/08/2020,Yorkshire and The Humber,97
08/08/2020,Yorkshire and The Humber,104
07/08/2020,Yorkshire and The Humber,120
06/08/2020,Yorkshire and The Humber,177
05/05/2020,East of England,330
05/08/2020,Yorkshire and The Humber,157
04/05/2020,East of England,391
04/08/2020,Yorkshire and The Humber,146
03/05/2020,East of England,317
03/08/2020,Yorkshire and The Humber,144
02/05/2020,East of England,302
02/08/2020,Yorkshire and The Humber,85
01/08/2020,Yorkshire and The Humber,81
31/07/2020,Yorkshire and The Humber,99
30/07/2020,Yorkshire and The Humber,140
01/05/2020,East of England,493
30/04/2020,East of England,424
29/04/2020,East of England,475
28/04/2020,East of England,463
27/04/2020,East of England,511
26/04/2020,East of England,358
29/07/2020,Yorkshire and The Humber,163
28/07/2020,Yorkshire and The Humber,150
27/07/2020,Yorkshire and The Humber,143
25/04/2020,East of England,377
24/04/2020,East of England,423
28/12/2020,South East,264
23/04/2020,East of England,476
27/12/2020,South East,4456
26/12/2020,South East,6429
26/07/2020,Yorkshire and The Humber,91
22/04/2020,East of England,522
25/07/2020,Yorkshire and The Humber,88
24/07/2020,Yorkshire and The Humber,108
21/04/2020,East of England,406
25/12/2020,South East,2247
23/07/2020,Yorkshire and The Humber,106
24/12/2020,South East,5301
23/12/2020,South East,6724
22/12/2020,South East,8249
21/12/2020,South East,8791
20/12/2020,South East,5963
22/07/2020,Yorkshire and The Humber,103
19/12/2020,South East,3959
21/07/2020,Yorkshire and The Humber,100
20/07/2020,Yorkshire and The Humber,115
18/12/2020,South East,6234
19/07/2020,Yorkshire and The Humber,101
17/12/2020,South East,5908
18/07/2020,Yorkshire and The Humber,97
16/12/2020,South East,6018
17/07/2020,Yorkshire and The Humber,100
15/12/2020,South East,6033
14/12/2020,South East,5988
13/12/2020,South East,3684
20/04/2020,East of England,362
12/12/2020,South East,3284
16/07/2020,Yorkshire and The Humber,86
11/12/2020,South East,4074
10/12/2020,South East,3583
09/12/2020,South East,3234
08/12/2020,South East,3138
19/04/2020,East of England,317
15/07/2020,Yorkshire and The Humber,119
07/12/2020,South East,3286
06/12/2020,South East,2028
05/12/2020,South East,1883
18/04/2020,East of England,329
04/12/2020,South East,2332
14/07/2020,Yorkshire and The Humber,133
03/12/2020,South East,2286
02/12/2020,South East,2276
01/12/2020,South East,2279
30/11/2020,South East,2409
29/11/2020,South East,1464
28/11/2020,South East,1457
27/11/2020,South East,2055
26/11/2020,South East,1756
25/11/2020,South East,2043
24/11/2020,South East,1967
23/11/2020,South East,2381
22/11/2020,South East,1290
21/11/2020,South East,1471
20/11/2020,South East,1886
13/07/2020,Yorkshire and The Humber,135
12/07/2020,Yorkshire and The Humber,98
17/04/2020,East of England,365
11/07/2020,Yorkshire and The Humber,86
19/11/2020,South East,1890
16/04/2020,East of England,337
15/04/2020,East of England,295
18/11/2020,South East,2258
10/07/2020,Yorkshire and The Humber,92
17/11/2020,South East,2282
09/07/2020,Yorkshire and The Humber,97
16/11/2020,South East,2994
15/11/2020,South East,1686
08/07/2020,Yorkshire and The Humber,126
14/11/2020,South East,1804
13/11/2020,South East,2727
12/11/2020,South East,2618
11/11/2020,South East,2715
10/11/2020,South East,2599
09/11/2020,South East,2987
08/11/2020,South East,1953
07/11/2020,South East,1712
14/04/2020,East of England,289
06/11/2020,South East,1920
07/07/2020,Yorkshire and The Humber,103
05/11/2020,South East,1917
06/07/2020,Yorkshire and The Humber,120
04/11/2020,South East,1938
03/11/2020,South East,1964
02/11/2020,South East,2519
01/11/2020,South East,1008
05/07/2020,Yorkshire and The Humber,90
04/07/2020,Yorkshire and The Humber,78
13/04/2020,East of England,292
12/04/2020,East of England,260
03/07/2020,Yorkshire and The Humber,106
02/07/2020,Yorkshire and The Humber,104
01/07/2020,Yorkshire and The Humber,131
31/10/2020,South East,1209
30/10/2020,South East,1692
30/06/2020,Yorkshire and The Humber,112
29/10/2020,South East,1704
28/10/2020,South East,1627
11/04/2020,East of England,271
10/04/2020,East of England,320
27/10/2020,South East,1700
09/04/2020,East of England,326
26/10/2020,South East,1856
29/06/2020,Yorkshire and The Humber,133
25/10/2020,South East,972
24/10/2020,South East,1095
08/04/2020,East of England,409
23/10/2020,South East,1428
22/10/2020,South East,1444
21/10/2020,South East,1643
20/10/2020,South East,1595
19/10/2020,South East,1402
18/10/2020,South East,758
17/10/2020,South East,794
07/04/2020,East of England,389
06/04/2020,East of England,385
28/06/2020,Yorkshire and The Humber,98
27/06/2020,Yorkshire and The Humber,148
26/06/2020,Yorkshire and The Humber,152
16/10/2020,South East,955
15/10/2020,South East,972
25/06/2020,Yorkshire and The Humber,143
14/10/2020,South East,1075
24/06/2020,Yorkshire and The Humber,156
23/06/2020,Yorkshire and The Humber,172
22/06/2020,Yorkshire and The Humber,156
21/06/2020,Yorkshire and The Humber,116
20/06/2020,Yorkshire and The Humber,163
19/06/2020,Yorkshire and The Humber,203
18/06/2020,Yorkshire and The Humber,258
17/06/2020,Yorkshire and The Humber,230
13/10/2020,South East,1022
05/04/2020,East of England,282
04/04/2020,East of England,269
03/04/2020,East of England,353
02/04/2020,East of England,372
01/04/2020,East of England,333
16/06/2020,Yorkshire and The Humber,216
31/03/2020,East of England,322
30/03/2020,East of England,300
29/03/2020,East of England,209
28/03/2020,East of England,183
12/10/2020,South East,865
11/10/2020,South East,484
10/10/2020,South East,560
09/10/2020,South East,776
27/03/2020,East of England,243
26/03/2020,East of England,215
08/10/2020,South East,965
07/10/2020,South East,907
06/10/2020,South East,679
05/10/2020,South East,744
04/10/2020,South East,560
03/10/2020,South East,543
02/10/2020,South East,631
15/06/2020,Yorkshire and The Humber,189
25/03/2020,East of England,188
24/03/2020,East of England,165
23/03/2020,East of England,194
22/03/2020,East of England,90
14/06/2020,Yorkshire and The Humber,159
13/06/2020,Yorkshire and The Humber,193
12/06/2020,Yorkshire and The Humber,246
11/06/2020,Yorkshire and The Humber,197
10/06/2020,Yorkshire and The Humber,226
09/06/2020,Yorkshire and The Humber,173
08/06/2020,Yorkshire and The Humber,187
07/06/2020,Yorkshire and The Humber,150
21/03/2020,East of England,78
20/03/2020,East of England,70
19/03/2020,East of England,57
18/03/2020,East of England,74
17/03/2020,East of England,38
06/06/2020,Yorkshire and The Humber,121
05/06/2020,Yorkshire and The Humber,156
16/03/2020,East of England,24
04/06/2020,Yorkshire and The Humber,179
01/10/2020,South East,517
03/06/2020,Yorkshire and The Humber,206
15/03/2020,East of England,35
30/09/2020,South East,488
29/09/2020,South East,350
02/06/2020,Yorkshire and The Humber,197
28/09/2020,South East,371
27/09/2020,South East,265
01/06/2020,Yorkshire and The Humber,191
31/05/2020,Yorkshire and The Humber,177
26/09/2020,South East,216
25/09/2020,South East,311
24/09/2020,South East,289
30/05/2020,Yorkshire and The Humber,164
23/09/2020,South East,254
22/09/2020,South East,263
29/05/2020,Yorkshire and The Humber,199
14/03/2020,East of England,16
21/09/2020,South East,226
28/05/2020,Yorkshire and The Humber,274
20/09/2020,South East,175
13/03/2020,East of England,37
27/05/2020,Yorkshire and The Humber,254
19/09/2020,South East,173
26/05/2020,Yorkshire and The Humber,232
12/03/2020,East of England,18
25/05/2020,Yorkshire and The Humber,254
24/05/2020,Yorkshire and The Humber,204
18/09/2020,South East,193
23/05/2020,Yorkshire and The Humber,235
17/09/2020,South East,163
16/09/2020,South East,147
15/09/2020,South East,137
14/09/2020,South East,148
13/09/2020,South East,63
12/09/2020,South East,136
11/09/2020,South East,158
10/09/2020,South East,214
09/09/2020,South East,167
08/09/2020,South East,186
07/09/2020,South East,205
06/09/2020,South East,180
05/09/2020,South East,158
04/09/2020,South East,226
03/09/2020,South East,225
02/09/2020,South East,198
01/09/2020,South East,124
31/08/2020,South East,117
30/08/2020,South East,101
28/12/2020,South West,192
29/08/2020,South East,104
27/12/2020,South West,1861
28/08/2020,South East,116
26/12/2020,South West,1780
22/05/2020,Yorkshire and The Humber,267
25/12/2020,South West,553
21/05/2020,Yorkshire and The Humber,383
24/12/2020,South West,1097
20/05/2020,Yorkshire and The Humber,295
23/12/2020,South West,1745
19/05/2020,Yorkshire and The Humber,388
22/12/2020,South West,1782
18/05/2020,Yorkshire and The Humber,261
21/12/2020,South West,1940
17/05/2020,Yorkshire and The Humber,244
20/12/2020,South West,1265
16/05/2020,Yorkshire and The Humber,259
19/12/2020,South West,776
15/05/2020,Yorkshire and The Humber,337
18/12/2020,South West,1243
17/12/2020,South West,1115
14/05/2020,Yorkshire and The Humber,355
13/05/2020,Yorkshire and The Humber,405
16/12/2020,South West,1327
12/05/2020,Yorkshire and The Humber,375
15/12/2020,South West,1223
11/05/2020,Yorkshire and The Humber,425
14/12/2020,South West,1262
10/05/2020,Yorkshire and The Humber,296
09/05/2020,Yorkshire and The Humber,245
27/08/2020,South East,127
11/03/2020,East of England,14
26/08/2020,South East,115
10/03/2020,East of England,16
25/08/2020,South East,90
24/08/2020,South East,95
23/08/2020,South East,84
22/08/2020,South East,78
21/08/2020,South East,110
09/03/2020,East of England,5
20/08/2020,South East,130
08/03/2020,East of England,2
07/03/2020,East of England,3
19/08/2020,South East,115
18/08/2020,South East,77
17/08/2020,South East,109
06/03/2020,East of England,5
16/08/2020,South East,36
15/08/2020,South East,45
14/08/2020,South East,95
13/08/2020,South East,76
05/03/2020,East of England,1
04/03/2020,East of England,7
12/08/2020,South East,83
03/03/2020,East of England,7
11/08/2020,South East,77
02/03/2020,East of England,0
01/03/2020,East of England,1
29/02/2020,East of England,0
28/02/2020,East of England,2
27/02/2020,East of England,1
26/02/2020,East of England,1
13/12/2020,South West,815
12/12/2020,South West,664
11/12/2020,South West,812
08/05/2020,Yorkshire and The Humber,352
10/12/2020,South West,869
07/05/2020,Yorkshire and The Humber,459
10/08/2020,South East,112
09/12/2020,South West,816
09/08/2020,South East,29
06/05/2020,Yorkshire and The Humber,413
08/08/2020,South East,31
08/12/2020,South West,842
07/08/2020,South East,56
07/12/2020,South West,780
05/05/2020,Yorkshire and The Humber,440
06/08/2020,South East,61
05/08/2020,South East,66
06/12/2020,South West,504
04/05/2020,Yorkshire and The Humber,351
04/08/2020,South East,66
03/08/2020,South East,77
05/12/2020,South West,514
03/05/2020,Yorkshire and The Humber,384
02/08/2020,South East,21
01/08/2020,South East,29
04/12/2020,South West,591
02/05/2020,Yorkshire and The Humber,385
31/07/2020,South East,41
30/07/2020,South East,63
03/12/2020,South West,670
29/07/2020,South East,80
01/05/2020,Yorkshire and The Humber,621
28/07/2020,South East,63
02/12/2020,South West,650
27/07/2020,South East,85
30/04/2020,Yorkshire and The Humber,578
26/07/2020,South East,37
01/12/2020,South West,732
25/07/2020,South East,47
24/07/2020,South East,63
29/04/2020,Yorkshire and The Humber,713
23/07/2020,South East,76
30/11/2020,South West,799
22/07/2020,South East,77
28/04/2020,Yorkshire and The Humber,486
27/04/2020,Yorkshire and The Humber,510
26/04/2020,Yorkshire and The Humber,423
25/04/2020,Yorkshire and The Humber,414
24/04/2020,Yorkshire and The Humber,592
23/04/2020,Yorkshire and The Humber,450
22/04/2020,Yorkshire and The Humber,564
21/04/2020,Yorkshire and The Humber,350
20/04/2020,Yorkshire and The Humber,401
19/04/2020,Yorkshire and The Humber,417
18/04/2020,Yorkshire and The Humber,364
17/04/2020,Yorkshire and The Humber,351
16/04/2020,Yorkshire and The Humber,374
15/04/2020,Yorkshire and The Humber,473
14/04/2020,Yorkshire and The Humber,314
21/07/2020,South East,77
13/04/2020,Yorkshire and The Humber,326
29/11/2020,South West,501
28/11/2020,South West,504
27/11/2020,South West,699
26/11/2020,South West,764
20/07/2020,South East,87
25/11/2020,South West,848
24/11/2020,South West,824
23/11/2020,South West,999
22/11/2020,South West,572
12/04/2020,Yorkshire and The Humber,269
11/04/2020,Yorkshire and The Humber,261
21/11/2020,South West,693
10/04/2020,Yorkshire and The Humber,299
20/11/2020,South West,898
19/11/2020,South West,990
09/04/2020,Yorkshire and The Humber,304
08/04/2020,Yorkshire and The Humber,318
18/11/2020,South West,1176
07/04/2020,Yorkshire and The Humber,336
17/11/2020,South West,1296
16/11/2020,South West,1733
15/11/2020,South West,1059
14/11/2020,South West,1256
06/04/2020,Yorkshire and The Humber,321
05/04/2020,Yorkshire and The Humber,216
04/04/2020,Yorkshire and The Humber,202
03/04/2020,Yorkshire and The Humber,293
02/04/2020,Yorkshire and The Humber,243
01/04/2020,Yorkshire and The Humber,297
13/11/2020,South West,1713
12/11/2020,South West,1559
11/11/2020,South West,1592
19/07/2020,South East,46
18/07/2020,South East,54
31/03/2020,Yorkshire and The Humber,319
30/03/2020,Yorkshire and The Humber,285
29/03/2020,Yorkshire and The Humber,228
28/03/2020,Yorkshire and The Humber,208
27/03/2020,Yorkshire and The Humber,153
26/03/2020,Yorkshire and The Humber,177
25/03/2020,Yorkshire and The Humber,151
24/03/2020,Yorkshire and The Humber,157
23/03/2020,Yorkshire and The Humber,144
22/03/2020,Yorkshire and The Humber,95
21/03/2020,Yorkshire and The Humber,77
17/07/2020,South East,50
20/03/2020,Yorkshire and The Humber,59
10/11/2020,South West,1774
19/03/2020,Yorkshire and The Humber,55
09/11/2020,South West,1903
18/03/2020,Yorkshire and The Humber,47
17/03/2020,Yorkshire and The Humber,31
08/11/2020,South West,1292
07/11/2020,South West,1165
16/03/2020,Yorkshire and The Humber,28
15/03/2020,Yorkshire and The Humber,10
14/03/2020,Yorkshire and The Humber,12
13/03/2020,Yorkshire and The Humber,12
12/03/2020,Yorkshire and The Humber,14
11/03/2020,Yorkshire and The Humber,10
10/03/2020,Yorkshire and The Humber,18
09/03/2020,Yorkshire and The Humber,7
16/07/2020,South East,63
15/07/2020,South East,63
14/07/2020,South East,60
13/07/2020,South East,69
08/03/2020,Yorkshire and The Humber,3
07/03/2020,Yorkshire and The Humber,5
06/03/2020,Yorkshire and The Humber,1
06/11/2020,South West,1481
12/07/2020,South East,31
05/03/2020,Yorkshire and The Humber,2
04/03/2020,Yorkshire and The Humber,2
03/03/2020,Yorkshire and The Humber,4
02/03/2020,Yorkshire and The Humber,3
01/03/2020,Yorkshire and The Humber,2
29/02/2020,Yorkshire and The Humber,0
28/02/2020,Yorkshire and The Humber,2
27/02/2020,Yorkshire and The Humber,1
26/02/2020,Yorkshire and The Humber,0
25/02/2020,Yorkshire and The Humber,0
24/02/2020,Yorkshire and The Humber,0
23/02/2020,Yorkshire and The Humber,0
22/02/2020,Yorkshire and The Humber,0
21/02/2020,Yorkshire and The Humber,0
20/02/2020,Yorkshire and The Humber,0
19/02/2020,Yorkshire and The Humber,0
18/02/2020,Yorkshire and The Humber,0
17/02/2020,Yorkshire and The Humber,0
16/02/2020,Yorkshire and The Humber,0
15/02/2020,Yorkshire and The Humber,0
05/11/2020,South West,1556
11/07/2020,South East,34
04/11/2020,South West,1604
10/07/2020,South East,77
28/12/2020,West Midlands,117
27/12/2020,West Midlands,2669
14/02/2020,Yorkshire and The Humber,0
13/02/2020,Yorkshire and The Humber,0
03/11/2020,South West,1535
02/11/2020,South West,1788
09/07/2020,South East,85
08/07/2020,South East,82
12/02/2020,Yorkshire and The Humber,0
11/02/2020,Yorkshire and The Humber,0
01/11/2020,South West,713
10/02/2020,Yorkshire and The Humber,0
09/02/2020,Yorkshire and The Humber,0
08/02/2020,Yorkshire and The Humber,0
07/02/2020,Yorkshire and The Humber,0
06/02/2020,Yorkshire and The Humber,0
05/02/2020,Yorkshire and The Humber,0
04/02/2020,Yorkshire and The Humber,0
31/10/2020,South West,851
03/02/2020,Yorkshire and The Humber,0
26/12/2020,West Midlands,2499
02/02/2020,Yorkshire and The Humber,0
25/12/2020,West Midlands,978
01/02/2020,Yorkshire and The Humber,0
31/01/2020,Yorkshire and The Humber,0
07/07/2020,South East,55
24/12/2020,West Midlands,1951
06/07/2020,South East,44
05/07/2020,South East,58
23/12/2020,West Midlands,2657
22/12/2020,West Midlands,2778
21/12/2020,West Midlands,2950
30/10/2020,South West,1242
20/12/2020,West Midlands,2211
30/01/2020,Yorkshire and The Humber,1
29/10/2020,South West,1410
04/07/2020,South East,29
03/07/2020,South East,64
02/07/2020,South East,60
01/07/2020,South East,68
30/06/2020,South East,57
29/06/2020,South East,80
28/06/2020,South East,45
27/06/2020,South East,54
26/06/2020,South East,65
25/06/2020,South East,63
24/06/2020,South East,44
23/06/2020,South East,59
22/06/2020,South East,77
21/06/2020,South East,66
20/06/2020,South East,65
19/06/2020,South East,79
18/06/2020,South East,75
17/06/2020,South East,82
16/06/2020,South East,98
15/06/2020,South East,97
28/10/2020,South West,1372
19/12/2020,West Midlands,1605
27/10/2020,South West,1420
18/12/2020,West Midlands,2075
26/10/2020,South West,1336
17/12/2020,West Midlands,2117
25/10/2020,South West,903
24/10/2020,South West,787
23/10/2020,South West,1136
22/10/2020,South West,1278
14/06/2020,South East,71
16/12/2020,West Midlands,2062
15/12/2020,West Midlands,2238
14/12/2020,West Midlands,2379
13/12/2020,West Midlands,1322
12/12/2020,West Midlands,1339
11/12/2020,West Midlands,1744
10/12/2020,West Midlands,1679
09/12/2020,West Midlands,1655
13/06/2020,South East,66
12/06/2020,South East,85
08/12/2020,West Midlands,1719
07/12/2020,West Midlands,1734
06/12/2020,West Midlands,1129
05/12/2020,West Midlands,1106
04/12/2020,West Midlands,1390
03/12/2020,West Midlands,1348
11/06/2020,South East,93
02/12/2020,West Midlands,1469
01/12/2020,West Midlands,1529
21/10/2020,South West,1359
30/11/2020,West Midlands,1699
20/10/2020,South West,1137
29/11/2020,West Midlands,1120
19/10/2020,South West,1125
18/10/2020,South West,586
17/10/2020,South West,643
28/11/2020,West Midlands,1135
16/10/2020,South West,780
27/11/2020,West Midlands,1562
15/10/2020,South West,672
26/11/2020,West Midlands,1695
25/11/2020,West Midlands,1912
24/11/2020,West Midlands,2023
23/11/2020,West Midlands,2242
22/11/2020,West Midlands,1472
14/10/2020,South West,853
10/06/2020,South East,125
13/10/2020,South West,949
12/10/2020,South West,745
11/10/2020,South West,478
10/10/2020,South West,562
09/10/2020,South West,759
08/10/2020,South West,839
21/11/2020,West Midlands,1589
20/11/2020,West Midlands,2303
19/11/2020,West Midlands,2372
07/10/2020,South West,794
06/10/2020,South West,646
05/10/2020,South West,647
04/10/2020,South West,429
09/06/2020,South East,114
08/06/2020,South East,121
07/06/2020,South East,61
06/06/2020,South East,85
05/06/2020,South East,140
18/11/2020,West Midlands,2609
03/10/2020,South West,396
02/10/2020,South West,416
04/06/2020,South East,158
03/06/2020,South East,136
02/06/2020,South East,218
01/06/2020,South East,184
31/05/2020,South East,134
30/05/2020,South East,132
29/05/2020,South East,163
28/05/2020,South East,202
27/05/2020,South East,202
26/05/2020,South East,182
17/11/2020,West Midlands,3030
16/11/2020,West Midlands,3386
15/11/2020,West Midlands,2027
14/11/2020,West Midlands,2360
13/11/2020,West Midlands,3044
12/11/2020,West Midlands,3098
11/11/2020,West Midlands,3535
25/05/2020,South East,187
24/05/2020,South East,150
23/05/2020,South East,121
22/05/2020,South East,247
01/10/2020,South West,391
30/09/2020,South West,394
29/09/2020,South West,268
28/09/2020,South West,318
27/09/2020,South West,118
26/09/2020,South West,130
25/09/2020,South West,217
24/09/2020,South West,207
23/09/2020,South West,171
21/05/2020,South East,303
20/05/2020,South East,340
19/05/2020,South East,386
10/11/2020,West Midlands,3641
18/05/2020,South East,359
09/11/2020,West Midlands,3929
08/11/2020,West Midlands,2448
07/11/2020,West Midlands,2268
06/11/2020,West Midlands,2795
05/11/2020,West Midlands,2833
17/05/2020,South East,222
16/05/2020,South East,191
15/05/2020,South East,263
22/09/2020,South West,150
21/09/2020,South West,150
20/09/2020,South West,143
19/09/2020,South West,126
14/05/2020,South East,295
18/09/2020,South West,124
17/09/2020,South West,107
16/09/2020,South West,74
15/09/2020,South West,86
04/11/2020,West Midlands,2741
03/11/2020,West Midlands,3102
02/11/2020,West Midlands,3644
01/11/2020,West Midlands,1614
31/10/2020,West Midlands,1939
30/10/2020,West Midlands,2590
29/10/2020,West Midlands,2487
13/05/2020,South East,484
14/09/2020,South West,77
28/10/2020,West Midlands,2541
27/10/2020,West Midlands,2426
12/05/2020,South East,411
11/05/2020,South East,477
10/05/2020,South East,308
26/10/2020,West Midlands,2634
25/10/2020,West Midlands,1588
24/10/2020,West Midlands,1545
09/05/2020,South East,247
08/05/2020,South East,352
13/09/2020,South West,55
23/10/2020,West Midlands,2034
07/05/2020,South East,420
06/05/2020,South East,444
05/05/2020,South East,474
04/05/2020,South East,488
03/05/2020,South East,363
02/05/2020,South East,417
01/05/2020,South East,523
30/04/2020,South East,650
29/04/2020,South East,690
28/04/2020,South East,659
12/09/2020,South West,63
27/04/2020,South East,555
26/04/2020,South East,501
25/04/2020,South East,517
24/04/2020,South East,657
23/04/2020,South East,680
22/04/2020,South East,693
22/10/2020,West Midlands,2111
21/04/2020,South East,632
21/10/2020,West Midlands,2227
20/04/2020,South East,490
19/04/2020,South East,414
18/04/2020,South East,523
17/04/2020,South East,706
16/04/2020,South East,656
11/09/2020,South West,94
20/10/2020,West Midlands,2272
19/10/2020,West Midlands,2203
18/10/2020,West Midlands,1186
17/10/2020,West Midlands,1234
