date,region,number
10/04/2020,North East,245
09/04/2020,North East,314
08/04/2020,North East,289
07/04/2020,North East,349
06/04/2020,North East,375
05/04/2020,North East,222
04/04/2020,North East,254
03/04/2020,North East,260
02/04/2020,North East,219
01/04/2020,North East,307
31/03/2020,North East,211
30/03/2020,North East,176
29/03/2020,North East,107
28/03/2020,North East,113
27/03/2020,North East,102
26/03/2020,North East,97
25/03/2020,North East,76
24/03/2020,North East,76
23/03/2020,North East,58
22/03/2020,North East,20
21/03/2020,North East,23
20/03/2020,North East,26
19/03/2020,North East,19
18/03/2020,North East,14
17/03/2020,North East,16
16/03/2020,North East,7
15/03/2020,North East,10
14/03/2020,North East,6
13/03/2020,North East,6
12/03/2020,North East,2
11/03/2020,North East,1
10/03/2020,North East,4
09/03/2020,North East,3
08/03/2020,North East,0
07/03/2020,North East,2
06/03/2020,North East,1
05/03/2020,North East,2
04/03/2020,North East,1
03/03/2020,North East,0
02/03/2020,North East,1
28/12/2020,North West,820
27/12/2020,North West,2899
26/12/2020,North West,2431
25/12/2020,North West,845
24/12/2020,North West,2145
23/12/2020,North West,2785
22/12/2020,North West,2761
21/12/2020,North West,3046
20/12/2020,North West,1947
19/12/2020,North West,1657
18/12/2020,North West,2096
17/12/2020,North West,1948
16/12/2020,North West,2031
15/12/2020,North West,2121
14/12/2020,North West,2237
13/12/2020,North West,1321
12/12/2020,North West,1254
11/12/2020,North West,1642
10/12/2020,North West,1646
09/12/2020,North West,1596
08/12/2020,North West,1572
07/12/2020,North West,1839
06/12/2020,North West,1135
05/12/2020,North West,998
04/12/2020,North West,1453
03/12/2020,North West,1353
02/12/2020,North West,1449
01/12/2020,North West,1708
30/11/2020,North West,1881
29/11/2020,North West,1055
28/11/2020,North West,1140
27/11/2020,North West,1430
26/11/2020,North West,1597
25/11/2020,North West,1835
24/11/2020,North West,1859
23/11/2020,North West,2179
22/11/2020,North West,1384
21/11/2020,North West,1378
20/11/2020,North West,1984
19/11/2020,North West,2178
18/11/2020,North West,2577
17/11/2020,North West,3048
16/11/2020,North West,3370
15/11/2020,North West,2119
14/11/2020,North West,2374
13/11/2020,North West,3226
12/11/2020,North West,3418
11/11/2020,North West,3914
10/11/2020,North West,3901
09/11/2020,North West,4713
08/11/2020,North West,3176
07/11/2020,North West,2809
06/11/2020,North West,3854
05/11/2020,North West,3912
28/12/2020,London,346
04/11/2020,North West,4088
27/12/2020,London,6310
26/12/2020,London,9753
25/12/2020,London,4164
24/12/2020,London,7820
23/12/2020,London,11739
22/12/2020,London,13041
21/12/2020,London,13091
03/11/2020,North West,4442
02/11/2020,North West,5938
01/11/2020,North West,3065
31/10/2020,North West,3144
19/12/2020,London,7087
18/12/2020,London,10748
30/10/2020,North West,4373
29/10/2020,North West,4545
28/10/2020,North West,4647
27/10/2020,North West,4942
26/10/2020,North West,5540
25/10/2020,North West,3283
24/10/2020,North West,3392
23/10/2020,North West,4481
17/12/2020,London,10111
16/12/2020,London,9896
15/12/2020,London,8806
14/12/2020,London,8303
13/12/2020,London,5498
12/12/2020,London,4658
11/12/2020,London,5462
10/12/2020,London,4993
22/10/2020,North West,4778
21/10/2020,North West,5543
20/10/2020,North West,5594
19/10/2020,North West,6156
18/10/2020,North West,3211
17/10/2020,North West,3587
16/10/2020,North West,3891
09/12/2020,London,4409
15/10/2020,North West,4169
14/10/2020,North West,4475
13/10/2020,North West,4282
12/10/2020,North West,4761
08/12/2020,London,3697
07/12/2020,London,3703
06/12/2020,London,2418
05/12/2020,London,2272
04/12/2020,London,2911
03/12/2020,London,2436
02/12/2020,London,2782
11/10/2020,North West,2931
10/10/2020,North West,2940
09/10/2020,North West,3738
08/10/2020,North West,4278
07/10/2020,North West,4365
06/10/2020,North West,4538
05/10/2020,North West,4337
04/10/2020,North West,2901
03/10/2020,North West,2948
02/10/2020,North West,3423
01/10/2020,North West,3593
30/09/2020,North West,3628
29/09/2020,North West,3172
28/09/2020,North West,2993
27/09/2020,North West,2245
26/09/2020,North West,2018
25/09/2020,North West,2218
24/09/2020,North West,2212
23/09/2020,North West,2159
22/09/2020,North West,1972
21/09/2020,North West,1477
20/09/2020,North West,1562
19/09/2020,North West,1510
18/09/2020,North West,1398
01/12/2020,London,2446
17/09/2020,North West,1405
16/09/2020,North West,1447
15/09/2020,North West,1067
14/09/2020,North West,1049
13/09/2020,North West,613
12/09/2020,North West,759
30/11/2020,London,2690
29/11/2020,London,1650
28/11/2020,London,1636
27/11/2020,London,2195
26/11/2020,London,2064
25/11/2020,London,2234
24/11/2020,London,2145
23/11/2020,London,2387
22/11/2020,London,1479
21/11/2020,London,1473
20/11/2020,London,2107
19/11/2020,London,2177
18/11/2020,London,2453
17/11/2020,London,2558
11/09/2020,North West,875
10/09/2020,North West,912
09/09/2020,North West,838
08/09/2020,North West,858
07/09/2020,North West,959
06/09/2020,North West,573
05/09/2020,North West,541
16/11/2020,London,3070
15/11/2020,London,1801
14/11/2020,London,1921
13/11/2020,London,2687
04/09/2020,North West,633
12/11/2020,London,2838
03/09/2020,North West,630
11/11/2020,London,2910
10/11/2020,London,2721
02/09/2020,North West,666
01/09/2020,North West,450
31/08/2020,North West,264
30/08/2020,North West,255
09/11/2020,London,3079
08/11/2020,London,1755
07/11/2020,London,1647
06/11/2020,London,2110
05/11/2020,London,2088
04/11/2020,London,2046
03/11/2020,London,2125
02/11/2020,London,2903
01/11/2020,London,1204
29/08/2020,North West,245
28/08/2020,North West,358
27/08/2020,North West,286
26/08/2020,North West,284
31/10/2020,London,1386
30/10/2020,London,1869
29/10/2020,London,2009
25/08/2020,North West,212
24/08/2020,North West,251
23/08/2020,North West,118
22/08/2020,North West,173
21/08/2020,North West,210
20/08/2020,North West,224
19/08/2020,North West,253
28/10/2020,London,1962
18/08/2020,North West,191
